AT,V,AP,RH
30.67,77.95,1015.28,61.67
22.61,49.3,1003.51,83.02
21.84,55.5,1019.28,62.17
27.63,71.98,1005.45,82.88
18.87,43.43,1009.16,69.5
13.89,43.7,1015.12,64.99
19.64,56.65,1020.79,73.88
13.35,39.58,1012.41,83.45
4.86,39.4,1012.73,91.39
14.89,39.58,1012.26,77.58
21.94,64.15,1021.2,61.75
11.95,41.48,1013.44,74.83
9.51,38.38,1022.77,73.82
26.12,70.47,1009.93,72.13
23.56,73.18,1012.18,87.98
27.21,67.45,1013.83,43.26
13.82,42.32,1016.32,81.19
14.12,39.52,1018.41,78.32
29.53,70.94,1007.22,70.68
12.42,40.24,1016.59,90.01
27.98,74.78,1009.46,63.11
28.63,66.56,1005.88,64.73
27.33,52.84,1005.88,56.16
7.64,41.17,1020.01,75.14
5.41,40.07,1019.16,64.77
12.85,40.0,1015.89,68.85
30.57,69.82,1009.86,52.94
15.06,41.85,1016.78,88.23
22.72,69.13,1010.81,92.43
21.85,69.94,1010.89,79.4
21.04,69.48,1011.07,89.92
9.26,39.61,1021.18,84.58
21.1,49.16,1006.76,86.08
14.18,42.99,1007.19,73.21
12.35,40.8,1027.35,72.69
29.8,69.34,1009.36,64.74
7.98,43.52,1022.45,97.68
21.31,42.8,1014.1,75.77
19.13,68.61,1010.65,94.92
17.46,53.29,1018.07,91.01
24.74,59.21,1012.18,74.2
25.67,58.59,1013.0,62.34
26.13,48.06,1013.5,47.67
23.55,58.79,1010.78,78.47
13.8,39.82,1012.37,83.69
22.91,66.44,1011.23,63.43
22.64,58.66,1011.68,60.97
14.73,39.82,1012.67,80.82
13.32,41.7,1020.22,88.3
21.78,51.43,1007.45,88.71
25.48,58.95,1017.02,51.16
19.08,46.93,1010.6,75.21
13.93,44.9,1022.15,85.93
14.27,44.34,1018.95,71.44
14.14,39.59,1010.84,96.02
4.97,42.85,1014.02,88.78
26.85,69.84,1002.84,81.31
16.98,53.16,1013.95,82.8
25.6,63.9,1013.16,53.19
13.81,40.2,1013.66,88.16
16.8,44.9,1009.14,79.78
21.19,52.3,1008.24,79.19
21.46,74.87,1009.23,86.58
7.24,41.17,1020.35,80.56
5.47,38.68,1017.33,72.71
15.79,38.28,1014.4,74.84
11.56,40.71,1015.85,76.08
6.49,38.68,1017.94,64.81
14.56,40.89,1010.94,79.57
14.84,38.91,1013.78,69.27
26.21,65.12,1016.06,44.31
23.0,57.76,1017.64,56.86
24.85,70.47,1006.64,85.37
31.32,71.29,1008.37,50.07
25.6,73.67,1005.78,84.82
20.55,65.46,1013.87,58.09
10.03,43.72,1011.46,96.89
27.02,72.58,1009.21,89.13
14.51,49.83,1006.27,91.65
24.02,70.94,1008.0,79.55
9.48,40.8,1023.82,78.98
26.2,71.73,1010.14,76.14
26.94,68.24,1010.49,76.58
29.11,74.78,1009.6,56.93
18.83,63.91,1010.8,96.18
14.98,39.58,1011.78,75.07
24.82,57.19,1007.82,71.46
22.35,63.94,1010.32,93.02
13.92,39.85,1012.64,68.03
26.02,71.94,1009.38,64.12
18.18,61.87,1008.64,66.28
16.15,41.85,1016.54,81.58
16.53,53.29,1018.64,87.47
18.04,44.85,1015.13,48.4
26.64,58.69,1007.99,75.68
25.96,68.08,1010.86,67.07
9.43,41.4,1028.81,85.83
19.49,46.63,1013.11,88.01
11.62,43.48,1016.66,76.32
13.02,45.51,1015.24,80.05
13.69,41.74,1021.19,60.86
8.36,40.67,1014.99,73.65
24.32,65.48,1017.55,59.02
18.96,44.58,1016.66,71.95
4.0,39.9,1008.46,97.21
7.87,41.06,1020.91,87.64
23.25,51.86,1013.54,78.34
32.48,69.75,1009.05,40.47
15.63,44.9,1009.38,82.8
23.32,66.48,1003.92,72.25
19.15,44.34,1019.54,48.09
21.63,60.84,1018.16,77.53
13.43,50.59,1020.38,86.3
15.77,41.79,1007.96,80.69
28.37,72.86,1004.81,53.52
15.92,44.85,1015.84,59.99
30.05,56.9,1007.02,41.96
13.9,40.2,1013.13,89.91
32.45,68.3,1015.26,44.12
13.68,45.08,1024.91,85.26
28.33,68.27,1008.09,50.37
20.64,61.86,1012.81,99.97
20.98,43.77,1010.67,62.73
13.2,45.01,1013.96,78.78
14.84,41.48,1017.26,63.42
25.01,66.56,1009.68,64.94
31.19,70.94,1007.29,51.91
9.47,40.81,1026.44,91.87
25.45,70.04,1011.2,82.48
13.53,42.86,1014.0,90.63
27.76,72.58,1009.04,84.96
26.1,63.56,1013.12,61.0
17.39,42.44,1013.72,73.79
12.67,41.16,1016.92,92.8
23.66,61.86,1013.33,83.09
29.29,73.18,1012.4,66.65
21.61,49.39,1019.41,78.2
14.3,54.3,1015.16,75.29
16.32,50.88,1013.37,97.19
10.52,42.18,1014.9,95.67
13.86,35.71,1015.21,63.16
20.69,50.78,1008.71,91.95
25.17,68.08,1012.83,60.87
28.55,66.51,1015.46,34.04
25.19,64.44,1014.75,64.38
23.73,59.15,1014.08,62.65
26.05,46.21,1011.31,55.25
18.06,56.65,1020.2,81.59
6.72,38.91,1016.89,90.47
26.97,64.45,1009.43,53.96
14.13,53.82,1016.72,64.85
7.44,41.04,1021.84,88.56
25.89,74.22,1007.43,81.55
8.18,43.69,1017.16,88.16
25.15,66.49,1012.71,63.46
23.21,74.22,1009.68,88.46
16.64,39.64,1008.7,81.79
32.32,67.9,1006.08,37.93
10.39,40.22,1004.95,91.65
22.86,47.43,1009.75,61.54
12.4,40.35,1011.46,79.49
19.31,43.56,1013.65,41.54
14.36,41.26,1021.16,73.43
6.03,40.78,1025.53,98.68
21.86,64.45,1015.83,63.36
27.71,72.99,1007.18,72.68
23.02,59.21,1011.74,83.18
33.58,77.54,1010.19,53.49
22.05,48.14,1015.81,69.94
32.27,71.85,1008.06,59.28
29.08,52.84,1006.14,40.09
14.85,43.13,1016.02,55.29
24.64,58.79,1009.82,73.96
19.1,43.79,1016.02,77.34
7.45,39.61,1017.88,79.73
20.55,63.86,1015.12,73.98
15.25,39.16,1016.18,79.39
14.14,39.82,1012.46,81.15
10.01,43.7,1015.73,91.97
23.2,73.17,1012.0,89.92
21.71,60.27,1015.74,89.76
28.36,60.23,1010.05,53.03
23.84,49.21,1013.35,45.4
13.52,40.83,1009.94,87.53
12.21,40.64,1020.31,83.84
30.16,69.34,1007.67,57.69
32.57,65.74,1011.03,46.27
29.59,74.78,1009.45,55.75
18.14,43.56,1012.83,47.1
28.82,71.8,1010.97,67.64
14.76,49.64,1026.31,75.67
10.19,44.63,1020.58,91.64
5.09,42.85,1013.78,91.34
25.43,60.95,1014.62,51.39
18.81,52.08,1004.43,99.6
30.68,71.8,1010.81,61.4
6.94,39.61,1017.74,81.43
7.55,43.65,1019.09,61.71
15.08,37.85,1009.85,85.9
23.34,63.73,1012.1,79.11
11.82,41.67,1012.94,84.51
30.74,69.59,1008.69,68.04
21.94,58.79,1010.3,88.21
24.31,65.34,1013.82,63.85
11.44,40.55,1023.37,88.43
25.37,44.89,1009.27,63.06
19.05,44.06,1017.02,73.76
26.98,72.58,1008.55,78.5
9.93,40.67,1018.08,69.74
26.3,77.95,1009.45,78.72
16.74,39.16,1005.68,71.17
22.56,70.98,1005.66,95.95
22.98,51.95,1006.83,74.92
14.81,43.69,1017.19,71.9
18.3,44.06,1017.95,63.24
12.57,39.16,1016.53,88.91
8.73,36.18,1013.66,77.74
30.2,73.67,1006.31,62.14
15.15,37.64,1014.37,89.82
11.61,41.17,1019.57,58.82
7.99,36.08,1020.08,83.2
23.45,69.05,1003.03,66.41
19.72,47.03,1012.1,90.36
32.63,69.89,1013.85,41.66
10.03,43.13,1014.85,70.09
26.59,59.92,1009.97,70.09
29.87,73.68,1015.1,40.96
14.97,42.28,1007.31,79.25
26.35,69.48,1008.45,70.47
20.46,51.43,1010.06,83.79
29.44,64.33,1011.4,61.78
21.6,43.43,1010.28,61.87
21.33,58.46,1016.17,79.73
30.01,65.18,1012.87,43.95
16.75,42.23,1013.81,84.98
21.83,63.87,1018.93,63.07
21.57,69.23,1011.94,81.73
14.2,52.75,1025.64,61.02
22.73,43.79,1015.61,42.66
17.77,43.72,1009.01,77.7
19.93,62.1,1019.94,76.41
16.64,45.87,1009.02,98.86
13.42,38.91,1012.81,73.82
19.44,60.07,1014.8,69.06
25.56,60.32,1016.28,59.84
8.82,43.56,1014.95,81.54
20.45,58.96,1014.53,65.36
18.77,50.66,1014.89,87.34
11.06,41.5,1013.09,89.8
10.12,40.0,1021.33,95.29
28.84,60.23,1009.7,59.0
31.02,69.51,1011.16,47.64
32.37,67.83,1008.32,57.39
26.31,63.77,1014.15,69.36
16.39,41.96,1011.7,94.85
18.27,51.43,1010.38,88.39
26.56,49.02,1007.65,70.78
34.97,73.56,1006.57,44.69
5.52,39.33,1009.74,95.25
15.63,40.56,1018.68,59.44
27.99,71.64,1007.79,72.67
15.72,56.89,1013.35,85.06
20.95,48.14,1013.3,67.72
24.66,57.43,1013.17,71.82
18.53,48.98,1014.24,74.29
4.81,42.85,1013.96,86.94
18.11,44.85,1014.48,48.94
15.99,49.21,1015.17,76.4
30.95,71.58,1009.95,50.02
10.34,37.5,1010.35,95.56
22.46,58.33,1013.21,68.68
13.52,41.44,1015.81,65.97
23.08,64.44,1014.85,69.95
11.82,41.54,1019.96,67.65
24.44,69.13,1011.1,87.62
17.48,43.14,1018.68,74.85
27.4,77.24,1007.65,78.13
16.2,45.76,1014.73,89.84
6.22,39.33,1012.31,93.23
10.17,41.46,1019.34,83.04
7.0,39.81,1017.47,87.65
30.98,71.29,1008.78,47.7
23.03,54.42,1014.42,74.98
26.45,54.5,1014.96,65.55
16.44,43.96,1013.66,76.31
18.75,41.1,1001.97,59.6
13.48,40.35,1011.71,69.44
27.52,69.68,1011.67,56.94
14.66,41.66,1012.89,62.41
20.19,58.86,1014.3,71.64
22.47,48.6,1002.33,63.23
16.76,43.67,1011.27,70.55
21.18,45.01,1012.57,48.05
6.37,41.03,1022.23,80.36
28.26,63.13,1012.0,68.35
23.69,65.59,1010.85,88.92
21.45,60.08,1017.92,72.7
31.79,76.2,1007.89,56.3
25.99,63.07,1012.5,64.81
25.26,74.33,1014.79,79.56
10.74,43.67,1011.75,80.1
14.1,42.74,1026.92,67.25
15.29,41.35,1006.32,82.56
16.84,56.03,1020.25,70.37
26.73,77.95,1012.31,78.35
12.52,42.34,1018.67,95.29
18.83,47.83,1005.58,77.07
23.7,69.23,1011.73,73.18
26.37,69.84,1002.71,83.51
30.97,67.9,1005.98,55.6
26.63,61.47,1008.18,69.0
23.19,42.67,1007.83,63.31
25.23,64.63,1020.59,52.2
7.36,41.01,1024.9,97.88
20.54,69.05,1001.6,79.62
23.95,58.46,1017.5,68.46
23.05,58.86,1013.84,62.21
17.99,50.59,1015.9,77.28
24.03,62.44,1010.96,79.88
15.71,39.3,1019.2,62.28
19.32,44.71,1015.3,28.81
6.28,43.02,1013.72,88.13
30.2,56.9,1006.89,42.69
19.48,63.09,1019.28,78.04
28.12,73.42,1011.49,80.16
22.59,66.54,1005.11,92.62
21.84,59.07,1008.84,96.5
10.72,40.81,1016.51,80.26
11.3,25.36,1008.66,96.18
26.26,71.73,1009.59,80.06
26.79,62.44,1011.51,72.46
29.53,70.79,1003.7,60.89
26.04,74.67,1016.68,81.2
26.45,75.6,1017.42,74.5
21.13,51.43,1007.43,88.72
6.75,39.37,1020.26,70.99
31.4,70.32,1011.62,65.01
25.47,59.92,1010.08,77.18
26.92,68.27,1008.11,61.73
22.0,51.3,1012.87,85.79
22.19,60.37,1008.45,92.43
21.12,63.56,1014.16,81.42
25.12,77.95,1009.26,82.95
16.31,52.75,1024.4,55.69
21.89,45.38,1014.42,68.95
23.37,70.94,1008.01,81.28
13.63,40.92,1021.89,80.5
27.25,69.98,1008.55,59.55
27.16,72.58,1009.24,90.26
8.11,41.92,1029.61,91.92
17.72,50.9,1012.02,85.55
13.52,39.3,1018.99,69.22
29.14,67.45,1015.51,46.47
21.91,70.32,1009.17,90.57
13.07,43.13,1016.93,70.02
28.96,75.23,1010.88,49.45
6.34,40.64,1020.62,94.39
12.27,41.17,1019.39,52.18
18.5,47.45,1009.23,83.21
26.41,60.93,1007.16,66.02
19.81,43.56,1013.39,38.13
18.14,49.78,1002.95,100.09
32.43,68.31,1010.09,42.22
25.78,47.93,1003.67,67.23
26.31,66.48,1005.93,63.9
8.02,40.23,1017.42,90.26
5.66,40.0,1022.08,93.03
9.98,41.62,1013.56,95.77
20.85,56.89,1013.15,68.22
14.42,41.16,1004.32,88.42
30.2,74.34,1004.17,74.77
9.2,39.82,1013.19,91.25
19.94,44.63,1004.73,78.48
23.07,57.5,1015.7,75.47
30.88,67.83,1008.97,54.99
22.47,47.45,1007.62,76.65
17.36,41.23,998.08,63.46
23.24,63.76,1010.1,79.16
8.88,36.3,1015.27,56.96
23.97,63.86,1018.09,57.62
9.82,41.04,1026.72,77.28
29.78,65.74,1012.13,44.96
28.92,72.43,1007.03,66.14
17.25,43.14,1018.34,76.17
17.15,43.69,1017.05,63.36
16.22,37.87,1022.36,83.13
8.07,41.01,1023.26,97.5
11.01,40.05,1015.46,89.22
28.05,70.36,1006.73,64.42
24.8,66.51,1016.74,65.72
23.38,48.78,1019.03,78.69
9.6,41.03,1021.01,69.03
12.59,39.72,1017.76,61.14
31.31,67.48,1009.71,57.06
8.27,35.77,1015.3,73.36
24.38,57.17,1009.85,74.46
12.23,43.69,1016.46,84.4
21.23,50.59,1017.42,69.26
10.57,41.26,1008.32,97.96
5.35,35.79,1013.23,93.53
6.48,40.27,1010.55,82.12
16.72,44.78,1007.75,56.79
30.04,64.44,1014.46,52.19
6.06,41.17,1019.67,84.7
31.91,69.89,1014.59,54.51
12.02,41.92,1030.1,84.45
19.65,42.23,1013.04,75.9
17.1,62.1,1020.39,93.63
21.82,65.27,1013.86,72.81
24.39,63.21,1012.59,80.88
30.1,66.25,1009.38,65.41
32.77,72.86,1003.6,52.87
30.8,73.56,1007.39,75.78
32.74,68.31,1010.23,41.29
12.33,38.91,1017.24,79.84
7.14,39.4,1011.68,91.84
13.24,39.85,1012.64,59.99
20.31,45.87,1007.89,73.7
25.47,60.75,1007.27,65.91
22.67,58.2,1016.91,60.75
26.09,60.23,1010.74,60.88
22.54,63.91,1012.15,84.91
5.35,35.57,1027.12,80.81
12.36,37.73,1021.36,65.45
31.15,66.25,1008.89,61.08
25.73,66.54,1010.07,55.97
21.76,47.93,1005.34,86.28
30.8,69.14,1007.68,63.78
27.76,75.33,1003.69,79.62
8.35,42.85,1010.46,90.13
20.37,44.58,1016.77,66.22
26.59,60.96,1011.9,52.41
6.17,41.31,1002.49,87.59
21.98,55.97,1009.12,89.51
16.64,48.92,1011.55,78.76
12.03,41.58,1015.09,90.43
21.75,59.8,1016.65,72.94
19.85,56.53,1020.57,74.05
18.9,60.07,1016.02,71.38
15.24,44.45,1020.56,66.13
14.8,42.77,1019.14,76.53
6.18,41.55,1001.58,98.79
14.17,43.13,1014.94,48.62
32.84,68.14,1003.59,43.88
23.79,58.59,1013.94,72.5
32.28,75.33,1002.14,62.49
13.52,42.07,1017.91,90.21
6.5,38.68,1017.8,62.9
16.49,49.39,1018.1,93.13
9.1,39.42,1025.28,68.78
15.46,44.88,1017.52,93.32
27.39,67.07,1006.17,58.2
29.85,61.85,1005.45,61.85
25.55,71.64,1009.09,79.35
9.76,39.16,1014.19,85.4
23.82,63.76,1009.8,68.94
17.86,50.88,1015.59,88.28
7.17,41.92,1031.97,83.86
6.58,40.07,1014.22,55.44
23.32,69.13,1010.75,91.84
23.47,51.3,1011.89,74.1
25.04,70.47,1006.82,84.75
18.14,67.71,1003.82,95.69
19.13,42.18,1001.45,98.77
11.82,41.17,1019.5,55.74
18.27,58.2,1018.34,72.73
29.78,70.98,1007.82,77.59
11.93,38.78,1013.15,96.08
7.52,41.66,1015.2,78.41
14.22,42.32,1015.54,77.23
20.35,68.61,1011.17,86.69
21.36,68.28,1007.6,72.37
32.0,71.85,1008.44,53.59
6.99,39.37,1020.19,75.06
27.44,58.9,1003.86,66.74
17.33,41.35,999.51,68.36
21.63,71.85,1009.44,76.89
18.64,67.71,1003.84,89.63
17.77,44.6,1016.97,54.25
26.08,57.32,1012.2,47.06
17.29,42.86,1014.38,72.3
18.62,61.27,1019.26,73.35
13.94,44.84,1023.69,95.3
24.8,50.23,1016.62,63.13
12.04,41.58,1018.02,88.91
14.76,39.64,1010.37,81.99
7.2,40.35,1011.83,95.59
27.33,73.18,1012.26,82.18
27.14,63.13,1013.38,75.68
28.5,73.77,1002.82,86.38
3.98,35.47,1017.22,86.53
20.57,44.78,1008.89,38.78
24.56,51.86,1014.43,68.85
15.04,41.35,1004.29,99.1
8.26,40.96,1025.23,89.22
15.78,41.48,1015.55,52.17
19.86,59.14,1016.12,69.32
18.22,44.34,1019.35,56.78
14.5,44.47,1028.2,66.95
21.18,44.57,1007.27,73.67
21.98,48.41,1008.42,84.86
6.13,40.81,1026.31,91.66
8.03,37.8,1020.47,60.67
22.88,65.48,1017.33,66.26
22.18,45.09,1014.04,43.13
26.28,68.14,1005.61,53.17
27.82,79.74,1008.37,69.46
7.21,42.03,1017.81,90.12
24.97,58.95,1017.19,56.24
15.7,42.99,1007.51,76.05
21.92,61.87,1009.68,58.83
21.81,65.06,1014.6,66.41
25.95,63.47,1011.77,66.22
22.58,41.54,1013.21,71.33
29.86,59.57,1011.24,64.02
8.6,36.66,1026.4,81.23
22.92,58.62,1016.37,71.38
11.59,40.05,1014.96,86.22
19.94,65.46,1017.7,68.94
26.2,74.67,1016.69,84.38
24.57,49.82,1016.82,65.25
24.86,65.34,1012.99,60.33
14.6,44.47,1028.46,69.96
15.7,44.21,1021.26,86.83
15.16,40.73,1017.7,86.37
31.68,74.16,1011.3,55.94
31.41,76.09,1007.68,70.49
11.12,44.92,1025.58,93.52
22.96,45.01,1012.21,50.81
25.2,59.21,1017.54,55.53
15.47,44.9,1021.59,81.74
20.78,62.52,1017.58,73.3
31.92,75.33,1002.13,65.73
23.94,59.39,1014.32,74.55
11.83,45.09,1013.11,88.52
25.97,70.32,1007.48,57.01
20.71,58.18,1007.63,98.44
14.26,44.2,1019.81,76.46
15.34,43.5,1021.18,79.44
25.06,74.33,1014.05,69.02
17.51,44.9,1009.05,74.91
31.01,73.5,1010.92,48.61
28.78,64.96,999.75,56.43
23.57,67.9,1006.08,70.12
6.65,39.33,1011.29,92.85
13.97,38.47,1015.15,55.28
31.03,69.98,1011.33,52.16
21.83,41.1,1001.91,41.79
21.05,63.09,1016.49,91.23
16.59,41.79,1006.67,73.9
9.32,41.39,1020.03,70.21
27.11,69.59,1008.56,79.2
23.85,74.22,1009.99,82.72
22.02,64.45,1012.57,47.87
34.18,67.9,1005.87,30.34
26.44,71.77,1006.68,81.45
31.61,69.04,1008.11,47.96
22.93,63.13,1011.6,77.09
14.56,45.51,1015.39,69.84
12.52,71.14,1019.49,76.11
22.06,59.39,1015.26,85.04
26.05,65.27,1013.69,56.46
26.98,74.78,1009.77,69.54
29.38,73.42,1011.49,54.96
12.17,41.58,1013.89,88.98
29.92,67.22,1014.09,50.62
30.06,69.14,1007.5,72.48
29.87,73.91,1004.53,74.3
26.39,71.25,999.8,89.12
25.92,60.95,1014.62,48.46
15.14,49.64,1023.78,75.0
7.09,39.37,1020.07,73.26
18.11,52.08,1002.51,100.09
24.87,65.75,1006.45,65.75
13.78,40.0,1018.38,68.67
13.17,38.52,1018.5,83.77
22.49,58.71,1009.75,76.43
18.96,50.16,1010.72,100.09
19.8,51.19,1008.25,91.98
23.07,57.17,1009.84,76.8
21.44,48.98,1014.4,54.22
18.56,42.28,1007.75,60.89
26.88,59.21,1013.54,58.13
24.81,59.87,1018.56,61.18
11.67,36.18,1016.03,61.44
7.9,40.0,1018.74,79.55
29.36,78.05,1011.12,64.17
18.32,47.83,1005.06,87.21
19.6,60.95,1015.4,84.26
16.85,50.9,1013.26,83.94
28.88,63.76,1010.16,56.34
29.56,71.14,1011.42,53.18
13.69,43.22,1009.94,74.64
12.64,41.79,1016.38,92.65
23.04,59.43,1010.23,68.99
35.56,68.94,1006.56,38.75
7.64,38.18,1017.65,78.51
10.95,40.22,1010.04,78.96
31.82,73.68,1014.8,40.58
27.71,69.13,1001.63,51.45
13.55,43.48,1016.08,67.25
11.1,44.85,1014.27,65.08
21.54,69.48,1011.04,80.48
31.01,71.37,1003.4,55.06
29.23,75.6,1017.72,52.26
12.15,43.71,1025.78,93.69
16.96,46.36,1019.91,89.11
28.25,57.19,1007.99,67.9
11.41,39.61,1018.69,69.44
29.19,65.71,1013.85,50.5
23.49,73.18,1012.4,90.05
14.55,42.74,1027.29,66.64
29.45,75.6,1018.12,50.68
13.42,41.23,994.17,95.79
30.26,77.24,1008.39,74.25
12.36,40.56,1022.11,72.99
18.87,44.06,1013.42,68.78
24.14,59.87,1018.47,57.76
22.11,59.8,1016.86,70.14
26.42,71.06,1008.12,87.32
32.31,77.95,1010.15,62.17
10.33,40.6,1015.0,88.62
10.12,38.38,1018.22,85.93
23.97,64.33,1010.54,84.65
13.55,40.1,1015.7,86.68
28.35,70.32,1009.22,47.13
25.69,64.45,1013.05,42.0
22.66,63.73,1013.24,83.95
13.28,43.8,1023.17,63.98
24.12,51.43,1006.55,83.77
11.54,45.51,1017.19,83.02
13.97,52.05,1012.05,85.36
14.03,49.83,1006.64,90.01
27.62,72.43,1007.54,71.33
25.89,66.49,1013.08,63.16
16.98,43.7,1015.07,53.51
10.31,37.5,1008.55,99.31
23.55,73.18,1011.85,87.97
25.66,70.02,1010.89,68.14
18.71,39.39,1014.09,62.82
15.52,36.99,1006.86,89.7
22.3,44.57,1008.48,67.58
21.16,50.66,1014.13,72.77
28.1,61.02,1011.28,59.05
32.48,69.89,1013.98,46.39
15.6,44.68,1018.35,85.91
26.08,76.86,1003.3,79.49
21.81,65.46,1013.97,52.16
14.64,39.58,1011.46,71.9
7.63,40.56,1023.13,81.01
19.09,39.39,1013.36,59.14
10.73,25.36,1009.35,100.15
21.67,61.45,1010.84,92.19
23.13,72.24,1010.92,92.3
15.52,43.7,1015.8,76.27
17.14,40.55,1000.05,71.41
31.74,72.58,1007.26,59.58
26.45,47.43,1008.87,53.25
27.69,69.98,1008.52,60.93
28.03,60.23,1010.23,66.04
26.92,67.25,1017.74,61.68
21.88,59.39,1015.58,87.19
6.23,40.96,1022.49,93.15
13.72,45.09,1012.95,87.41
12.67,42.86,1014.06,89.9
28.68,73.77,1004.72,87.01
30.56,69.14,1007.49,71.0
32.56,68.14,1004.02,35.04
15.77,58.16,1016.09,82.56
30.56,71.98,1004.74,58.77
25.11,63.21,1012.21,83.58
21.14,58.05,1012.98,87.27
24.97,68.61,1011.0,55.04
30.39,70.98,1007.55,72.76
28.96,66.54,1002.54,56.33
13.44,37.85,1009.78,99.13
16.09,65.46,1013.84,85.52
24.34,62.96,1019.7,61.44
9.06,39.3,1019.73,84.23
23.68,59.27,1010.75,83.82
24.24,71.58,1010.15,91.14
3.94,39.9,1008.06,97.49
19.27,50.9,1011.72,83.14
30.15,72.51,1009.37,50.64
12.8,42.18,1016.27,83.9
17.97,65.94,1012.92,88.22
11.52,40.75,1016.23,85.18
18.09,48.92,1010.6,52.11
3.38,39.64,1011.0,81.22
23.61,59.39,1015.11,78.84
3.69,38.44,1016.74,82.87
23.92,61.87,1009.63,54.16
13.25,41.62,1010.8,77.81
25.34,71.06,1007.74,92.52
26.47,69.51,1009.51,65.02
16.05,41.96,1011.82,96.05
13.6,39.82,1013.34,86.1
25.66,61.08,1013.0,71.21
20.76,44.58,1017.09,57.47
19.05,67.32,1013.2,83.14
30.96,64.44,1013.63,49.64
18.38,62.1,1020.12,77.27
19.5,65.12,1015.53,73.87
25.31,65.59,1011.16,79.71
12.29,40.71,1019.71,83.09
7.03,41.74,1021.92,86.44
10.41,44.68,1023.53,91.38
